µÿ√Êa.bmp
433
6,1,6,2488,4531,30,
4,1,6,2424,1211,39,
1,1,0,57,2620,45,
10,1,0,105,1855,74,
20,1,0,70,6001,86,
11,1,5,2079,4627,92,
3,2,0,51,598,97,
7,1,3,1376,463,135,
2,1,3,1273,4622,141,
5,1,3,1207,4255,147,
8,2,0,89,605,149,
40,1,1,523,1211,179,
12,2,0,89,604,200,
13,1,6,2447,6449,220,
0,0,1,428,405,235,
14,2,0,8,320,240,
15,2,0,89,604,247,
16,2,0,17,428,256,
18,2,0,-1,400,270,
21,2,0,21,197,292,
22,2,0,89,606,294,
17,1,5,2076,3278,304,
25,2,0,89,603,341,
24,1,5,2059,2059,345,
9,1,2,903,1578,375,
26,1,5,2116,1438,384,
35,1,2,816,2091,382,
37,1,0,5,7244,389,
27,2,0,89,604,390,
39,1,3,1219,1885,393,
28,2,0,88,57,402,
29,2,0,88,163,403,
30,2,0,88,270,404,
31,2,0,88,376,406,
32,2,0,88,551,407,
34,2,0,50,615,427,
38,1,6,2404,7575,504,
68,1,5,2109,2122,527,
41,2,0,59,516,549,
44,2,0,60,998,589,
33,1,3,1322,268,602,
45,2,0,64,940,591,
46,2,0,65,904,592,
47,2,0,64,771,593,
48,2,0,64,810,593,
50,2,0,65,648,594,
51,2,0,63,856,596,
53,2,0,64,1222,598,
52,2,0,64,1023,598,
55,2,0,64,1097,599,
56,2,0,64,1060,599,
54,2,0,69,721,599,
57,2,0,63,1162,601,
58,2,0,50,655,612,
49,1,5,2021,4270,616,
60,2,0,64,1221,633,
62,2,0,65,556,654,
63,2,0,59,511,659,
23,1,3,1245,1706,679,
64,2,0,62,1245,680,
95,1,3,1228,3170,689,
61,1,6,2453,698,697,
65,2,0,49,614,695,
67,2,0,38,738,700,
70,2,0,94,1054,709,
72,2,0,94,957,710,
73,2,0,93,860,716,
74,2,0,63,1245,728,
42,1,6,2514,6581,735,
79,1,5,2069,4660,734,
77,1,0,94,6551,744,
76,2,0,31,757,762,
43,1,3,1317,3502,774,
78,2,0,77,1215,779,
80,2,0,13,738,805,
81,2,0,58,611,817,
66,1,5,2105,7093,826,
84,2,0,78,1216,833,
111,1,5,2091,7059,834,
82,1,0,32,6892,849,
69,1,3,1227,2993,853,
85,2,0,20,1041,857,
86,2,0,80,899,858,
87,2,0,81,1100,862,
88,2,0,14,964,862,
89,2,0,76,1138,865,
90,2,0,12,812,875,
92,2,0,59,611,881,
93,2,0,75,1203,883,
71,1,6,2519,7388,891,
59,1,3,1250,2029,901,
83,1,0,73,6030,898,
105,1,5,2089,5619,917,
94,2,0,69,642,934,
113,1,5,2029,6591,935,
107,1,5,2076,6919,934,
75,1,4,1797,915,972,
96,2,0,65,929,975,
97,2,0,64,969,978,
98,2,0,62,719,979,
99,2,0,62,861,982,
101,2,0,63,1025,985,
100,2,0,63,1081,985,
102,2,0,62,1153,987,
103,2,0,61,777,988,
104,2,0,63,636,989,
109,1,6,2483,3100,987,
36,1,1,597,639,1006,
116,1,5,2016,7201,1000,
106,1,3,1207,2643,1019,
114,1,3,1296,1142,1035,
120,1,5,2038,5756,1075,
118,1,6,2409,6571,1095,
124,1,5,2029,5478,1115,
123,1,6,2450,4892,1129,
91,1,5,2110,5486,1147,
110,1,2,807,3102,1163,
112,1,6,2401,2227,1223,
122,1,1,516,1590,1259,
108,1,6,2441,6260,1260,
129,1,5,2043,7019,1292,
127,1,2,885,1462,1296,
119,1,1,426,40,1305,
126,1,0,116,2451,1320,
121,1,0,83,6358,1314,
125,1,0,24,2258,1326,
117,1,6,2446,7134,1347,
132,1,5,2000,7057,1347,
133,1,5,2074,6098,1368,
137,1,5,2029,7172,1397,
115,1,0,22,5755,1447,
134,1,3,1219,1648,1535,
130,1,6,2450,4893,1569,
128,1,2,905,1768,1575,
135,1,0,101,6385,1579,
141,1,0,87,7471,1597,
138,1,4,1624,654,1629,
139,1,0,63,1056,1644,
140,1,0,21,6780,1690,
136,1,0,54,2559,1741,
131,1,5,2053,5498,1748,
145,1,3,1218,3611,1750,
155,1,4,1622,1089,1789,
149,1,0,67,3394,1849,
211,1,3,1353,3515,1884,
144,1,3,1225,2750,1904,
142,1,5,2026,6872,1924,
212,1,1,477,2561,1929,
150,1,0,69,4448,1945,
147,1,4,1621,3078,1958,
151,1,5,2066,3198,1965,
153,1,5,2063,3642,1969,
152,1,0,62,3306,1969,
210,1,0,52,2624,1973,
250,1,3,1344,3039,1971,
154,1,0,107,2811,1974,
156,1,4,1617,3113,1987,
143,1,5,2056,1303,1993,
157,2,0,73,2827,1993,
237,1,3,1331,3146,2000,
160,1,4,1619,3101,1996,
158,2,0,73,3081,1996,
159,2,0,75,2883,1996,
161,2,0,75,2939,1998,
162,2,0,74,2757,1998,
163,2,0,72,2682,1999,
164,2,0,74,3009,1999,
165,2,0,82,4349,2002,
168,2,0,84,3995,2005,
167,2,0,84,3808,2005,
169,2,0,83,3465,2006,
170,2,0,83,4171,2007,
173,2,0,84,3640,2010,
174,2,0,-1,3360,2010,
172,2,0,81,7360,2010,
175,2,0,83,3293,2011,
148,1,5,2051,1619,2017,
176,2,0,20,2608,2016,
177,2,0,92,7648,2021,
178,2,0,83,4514,2025,
179,2,0,82,6238,2030,
180,2,0,82,6079,2030,
181,2,0,73,2356,2030,
182,2,0,75,2205,2032,
183,2,0,82,6401,2032,
184,2,0,82,7048,2033,
185,2,0,84,5907,2033,
187,2,0,82,6561,2034,
188,2,0,73,2433,2034,
186,2,0,84,5718,2034,
189,2,0,82,7370,2036,
190,2,0,83,4850,2037,
191,2,0,82,6720,2037,
192,2,0,84,4682,2037,
193,2,0,84,5537,2038,
195,2,0,73,2491,2039,
