µÿ√Êb.BMP
77
10,1,5,2027,637,30,
11,1,5,2093,810,83,
1,1,5,2076,550,96,
2,2,0,42,531,120,
3,2,0,40,409,139,
4,2,0,39,290,146,
25,1,5,2093,1018,144,
6,2,0,46,89,155,
7,2,0,48,203,165,
29,1,5,2111,970,169,
8,2,0,49,606,182,
5,1,5,2022,921,213,
12,2,0,43,465,214,
22,1,5,2051,426,225,
14,1,5,2076,1010,229,
13,2,0,-1,320,240,
15,2,0,41,336,266,
9,1,1,443,1065,278,
16,2,0,48,562,282,
17,2,0,47,259,286,
23,1,5,2076,870,307,
18,2,0,82,97,319,
19,2,0,46,412,329,
26,1,5,2109,667,346,
27,1,5,2096,690,349,
20,2,0,83,230,356,
0,0,1,407,138,370,
40,1,3,1295,279,370,
24,1,5,2076,570,379,
31,1,5,2077,874,455,
30,1,5,2031,908,498,
28,1,5,2111,370,507,
42,1,3,1336,542,525,
33,1,3,1217,125,522,
53,1,3,1361,143,558,
34,2,0,88,787,590,
35,2,0,88,1110,590,
36,2,0,88,895,591,
37,2,0,88,1001,591,
38,2,0,88,678,593,
39,2,0,88,572,594,
69,1,3,1259,1187,605,
41,2,0,53,1161,602,
43,2,0,46,497,618,
44,2,0,2,519,626,
32,1,3,1207,976,653,
45,2,0,89,496,667,
72,1,3,1358,53,681,
46,2,0,88,956,679,
47,2,0,88,628,680,
48,2,0,88,1069,680,
50,2,0,88,849,681,
51,2,0,88,738,681,
49,2,0,88,1249,681,
52,2,0,88,1183,682,
56,2,0,89,493,713,
57,1,3,1218,40,739,
59,2,0,89,490,758,
64,2,0,88,1008,776,
62,2,0,88,783,776,
63,2,0,88,895,776,
66,2,0,88,564,777,
65,2,0,88,672,777,
67,2,0,88,1120,778,
71,1,3,1204,67,795,
70,2,0,89,490,806,
55,1,3,1207,542,837,
58,1,3,1232,316,853,
73,2,0,89,490,854,
60,1,0,11,420,859,
54,1,3,1296,598,877,
74,1,3,1211,325,897,
75,2,0,89,491,901,
68,1,3,1257,221,915,
61,1,3,1237,386,921,
76,2,0,89,490,949,
77,2,0,5,483,961,
